
2025/02/07 (16:48:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/07 (16:48:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/07 (16:48:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (16:48:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/07 (16:48:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/07 (16:48:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/07 (22:52:39) | ===> btop++ v.1.4.0
2025/02/07 (22:52:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/07 (22:52:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/07 (22:52:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (22:52:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/07 (22:52:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/07 (22:52:39) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/07 (22:57:28) | WARNING: Failed to join _runner thread on exit!

2025/02/07 (23:04:39) | ===> btop++ v.1.4.0
2025/02/07 (23:04:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/07 (23:04:39) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/07 (23:04:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (23:04:39) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/07 (23:04:39) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/07 (23:04:39) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/08 (14:15:51) | ===> btop++ v.1.4.0
